code,name,lat,lon,alt
BI,Binnu,-28.051,114.69575,277
DU002,Dumbleyung GRDC,-33.33905,117.784184,302
GN002,Gnowangerup GRDC,-33.97145,118.01766,268
JA002,Jarrahdale 2,-32.35142,116.0495,202
KA002,Katanning GRDC,-33.8125,117.5785,344
LE,Lancelin East,-30.8862,115.40775,98
MZ,Moora,-30.659595,116.00015,231
MB,Mount Barker,-34.634208,117.539373,236
HO,Mount Howick,-33.6615,122.709,119
BU,Mount Buraminya,-33.30968,123.07455,146
ON002,Ongerup GRDC,-33.89915,118.46782,305
PM,Pemberton,-34.405166,115.932851,158
QP001,Quinninup,-34.445522,116.233982,150
RA,Ravensthorpe,-33.435863,119.730175,320
